Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectancy.Value,Located.in,Year.Planted
-37.81504575,144.9763173,Quercus,16/10/1998,88,20,Park,1998
-37.81099019,144.9831251,Phoenix,15/10/1998,77,60,Park,1998
-37.81397351,144.9783466,Hesperocyparis,2/01/2000,34,20,Park,1900
-37.81276399,144.9802129,Populus,14/10/1998,167,10,Park,1998
-37.81310159,144.9767709,Cedrus,14/09/2009,2,80,Park,2009
-37.81147874,144.9823481,Cordyline,1/01/2000,102,80,Park,1900
-37.81446274,144.9798889,Ilex,2/01/2000,25,30,Park,1900
-37.8119172,144.9814878,Quercus,15/10/1998,58,60,Park,1998
-37.81646268,144.9801649,Pinus,10/09/1998,88,60,Park,1998
-37.81262943,144.9801494,Betula,14/10/1998,23,5,Park,1998
-37.81412198,144.9772161,Ulmus,16/10/1998,102,10,Park,1998
-37.81303215,144.9805318,Ulmus,14/10/1998,28,10,Park,1998
-37.81464713,144.9825071,Jacaranda,14/07/2000,10,80,Park,2000
-37.81346387,144.9828118,Syzygium,2/01/2000,52,60,Park,1900
-37.81465805,144.9796592,Tilia,10/12/1998,60,30,Park,1998
-37.81211101,144.9829533,Cupressus,2/01/2000,79,60,Park,1900
-37.81313605,144.9771506,Cedrus,20/01/2006,10,80,Park,2006
-37.81269768,144.9816964,Ulmus,,10,80,Park,NA
-37.81482601,144.9812083,Agathis,20/01/2006,12,80,Park,2006
-37.81201841,144.9827554,Ulmus,16/10/1998,107,20,Park,1998
-37.81433769,144.9818721,Quercus,13/10/1998,69,20,Park,1998
-37.8131492,144.9805259,Ulmus,14/10/1998,113,20,Park,1998
-37.81185441,144.9787782,Ulmus,14/10/1998,120,10,Park,1998
-37.81355506,144.9814227,Cedrus,,85,20,Park,NA
-37.81405811,144.9778152,Ulmus,10/12/1998,141,20,Park,1998
-37.81608157,144.975668,Platanus,20/11/1997,59,5,Street,1997
-37.81188397,144.975096,Platanus,2/01/2000,50,30,Street,1900
-37.81622863,144.9792029,Pinus,10/09/1998,71,60,Park,1998
-37.81187864,144.9779794,Corymbia,21/11/1997,36,60,Street,1997
-37.81338151,144.9753086,Phoenix,16/10/1998,65,60,Park,1998
-37.81490768,144.9819876,Agathis,20/01/2006,9,80,Park,2006
-37.81242968,144.9829432,Phoenix,16/10/1998,72,60,Park,1998
-37.81548392,144.979903,Ulmus,10/12/1998,147,10,Park,1998
-37.81258644,144.9827568,Gleditsia,16/10/1998,77,30,Park,1998
-37.81154002,144.9811545,Araucaria,16/10/1998,67,60,Park,1998
-37.81445694,144.9797875,Tilia,13/10/1998,65,30,Park,1998
-37.81641095,144.9797449,Pinus,10/09/1998,64,60,Park,1998
-37.81236466,144.97892,Platanus,14/10/1998,74,5,Park,1998
-37.81546406,144.9805261,Cedrus,13/10/1998,95,30,Park,1998
-37.81293611,144.9804127,Ulmus,14/10/1998,128,20,Park,1998
-37.81194042,144.979069,Ulmus,14/10/1998,101,20,Park,1998
-37.81579416,144.9764842,Ulmus,10/12/1998,32,30,Park,1998
-37.81362728,144.9802793,Araucaria,13/10/1998,75,60,Park,1998
-37.81127017,144.9804426,Ficus,14/10/1998,131,30,Park,1998
-37.81316395,144.9807763,Ulmus,15/10/1998,121,20,Park,1998
-37.8116698,144.981854,Jubaea,15/10/1998,88,60,Park,1998
-37.81395961,144.9748106,Aesculus,16/10/1998,32,10,Park,1998
-37.81255109,144.9780632,Ulmus,14/10/1998,127,20,Park,1998
-37.8116724,144.9791631,Ulmus,14/10/1998,84,30,Park,1998
-37.81138491,144.9808643,Ulmus,1/01/2000,13,80,Park,2000
-37.81468471,144.9816395,Eucalyptus,13/10/1998,121,30,Park,1998
-37.81161805,144.9803338,Ginkgo,19/03/2010,3,80,Park,2010
-37.81114026,144.9786542,Araucaria,14/10/1998,87,60,Park,1998
